"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"PODDARMENT","INE371C01013","Poddar Pigments Limited","22-Nov-2016","10","10","1","-"
"KINGFA","INE473D01015","Kingfa Science & Technology (India) Limited","15-Nov-2016","10","10","1","-"
"VBL","INE200M01013","Varun Beverages Limited","08-Nov-2016","10","10","1","-"
"PNBHOUSING","INE572E01012","PNB Housing Finance Limited","07-Nov-2016","10","10","1","-"
"MAZDA","INE885E01034","Mazda Limited","01-Nov-2016","10","10","1","-"
"NIRAJISPAT","INE326T01011","Niraj Ispat Industries Limited","27-Oct-2016","10","10","1","-"
"ENDURANCE","INE913H01037","Endurance Technologies Limited","19-Oct-2016","10","10","1","-"
"MASKINVEST","INE885F01015","Mask Investments Limited","14-Oct-2016","10","10","1","-"
"HPL","INE495S01016","HPL Electric & Power Limited","04-Oct-2016","10","10","1","-"
"ICICIPRULI","INE726G01019","ICICI Prudential Life Insurance Company Limited","29-Sep-2016","10","10","1","-"
"MARATHON","INE182D01020","Marathon Nextgen Realty Limited","29-Sep-2016","5","5","1","-"
"GNA","INE934S01014","GNA Axles Limited","26-Sep-2016","10","10","1","-"
"LTTS","INE010V01017","L&T Technology Services Limited","23-Sep-2016","2","2","1","-"
"CUPID","INE509F01011","Cupid Limited","16-Sep-2016","10","10","1","-"
"TVVISION","INE871L01013","TV Vision Limited","15-Sep-2016","10","10","1","-"
"SABEVENTS","INE860T01019","Sab Events & Governance Now Media Limited","15-Sep-2016","10","10","1","-"
"BIGBLOC","INE412U01017","Bigbloc Construction Limited","02-Sep-2016","10","10","1","-"
"RBLBANK","INE976G01028","RBL Bank Limited","31-Aug-2016","10","10","1","-"
"FRETAIL","INE752P01024","Future Retail Limited","29-Aug-2016","2","2","1","-"
"NDGL","INE756C01015","Naga Dhunseri Group Limited","29-Aug-2016","10","10","1","-"
"SPAL","INE212I01016","S. P. Apparels Limited","12-Aug-2016","10","10","1","-"
"DBL","INE917M01012","Dilip Buildcon Limited","11-Aug-2016","10","10","1","-"
"MINDTECK","INE110B01017","Mindteck (India) Limited","02-Aug-2016","10","10","1","-"
"ADVENZYMES","INE837H01020","Advanced Enzyme Technologies Limited","01-Aug-2016","2","2","1","-"
"STAMPEDE","INE224E01028","Stampede Capital Limited","25-Jul-2016","1","1","1","-"
"LTI","INE214T01019","Larsen & Toubro Infotech Limited","21-Jul-2016","1","1","1","-"
"SOMICONVEY","INE323J01019","Somi Conveyor Beltings Limited","18-Jul-2016","10","10","1","-"
"LSIL","INE093R01011","Lloyds Steels Industries Limited","18-Jul-2016","1","1","1","-"
"GROBTEA","INE646C01018","The Grob Tea Company Limited","14-Jul-2016","10","10","1","-"
"MAXINDIA","INE153U01017","Max India Limited","14-Jul-2016","2","2","1","-"
"QUESS","INE615P01015","Quess Corp Limited","12-Jul-2016","10","10","1","-"
"VIJIFIN","INE159N01027","Viji Finance Limited","11-Jul-2016","1","1","1","-"
"GPTINFRA","INE390G01014","GPT Infraprojects Limited","11-Jul-2016","10","10","1","-"
"COMPINFO","INE070C01037","Compuage Infocom Limited","07-Jul-2016","2","2","1","-"
"MOLDTECH","INE835B01035","Mold-Tek Technologies Limited","07-Jul-2016","2","2","1","-"
"POKARNA","INE637C01025","Pokarna Limited","07-Jul-2016","2","2","1","-"
"DAMODARIND","INE497D01022","Damodar Industries Limited","04-Jul-2016","5","5","1","-"
"MGL","INE002S01010","Mahanagar Gas Limited","01-Jul-2016","10","10","1","-"
"ADHUNIKIND","INE452L01012","Adhunik Industries Limited","01-Jul-2016","10","10","1","-"
"SETCO","INE878E01021","Setco Automotive Limited","01-Jul-2016","2","2","1","-"
"MAHASTEEL","INE451L01014","Mahamaya Steel Industries Limited","01-Jul-2016","10","10","1","-"
"CONTROLPR","INE663B01015","Control Print Limited","24-Jun-2016","10","10","1","-"
"UVSL","INE292A01023","Uttam Value Steels Limited","24-Jun-2016","1","1","1","-"
"MAXVIL","INE154U01015","Max Ventures and Industries Limited","22-Jun-2016","10","10","1","-"
"PREMEXPLN","INE863B01011","Premier Explosives Limited","17-Jun-2016","10","10","1","-"
"SALONA","INE498E01010","Salona Cotspin Limited","16-Jun-2016","10","10","1","-"
"NAGAFERT","INE454M01024","Nagarjuna Fertilizers and Chemicals Limited","15-Jun-2016","1","1","1","-"
"BLS","INE153T01027","BLS International Services Limited","14-Jun-2016","1","1","1","-"
"ASPINWALL","INE991I01015","Aspinwall and Company Limited","14-Jun-2016","10","10","1","-"
"ALBERTDAVD","INE155C01010","Albert David Limited","14-Jun-2016","10","10","1","-"
"ABMINTLTD","INE251C01017","ABM International Limited","14-Jun-2016","10","10","1","-"
"ARMANFIN","INE109C01017","Arman Financial Services Limited","14-Jun-2016","10","10","1","-"
"SHRIPISTON","INE526E01018","Shriram Pistons & Rings Limited","02-Jun-2016","10","10","1","-"
"PARAGMILK","INE883N01014","Parag Milk Foods Limited","19-May-2016","10","10","1","-"
"CROMPTON","INE299U01018","Crompton Greaves Consumer Electricals Limited","13-May-2016","2","2","1","-"
"UJJIVAN","INE334L01012","Ujjivan Financial Services Limited","10-May-2016","10","10","1","-"
"THYROCARE","INE594H01019","Thyrocare Technologies Limited","09-May-2016","10","10","1","-"
"PALREDTEC","INE218G01033","Palred Technologies Limited","09-May-2016","10","10","1","-"
"EQUITAS","INE988K01017","Equitas Holdings Limited","21-Apr-2016","10","10","1","-"
"INFIBEAM","INE483S01020","Infibeam Avenues Limited","04-Apr-2016","1","1","1","-"
"BHARATWIRE","INE316L01019","Bharat Wire Ropes Limited","01-Apr-2016","10","10","1","-"
"HCG","INE075I01017","Healthcare Global Enterprises Limited","30-Mar-2016","10","10","1","-"
"PDMJEPAPER","INE865T01018","Pudumjee Paper Products Limited","30-Mar-2016","1","1","1","-"
"KDDL","INE291D01011","KDDL Limited","23-Mar-2016","10","10","1","-"
"SIMBHALS","INE748T01016","Simbhaoli Sugars Limited","14-Mar-2016","10","10","1","-"
"GOKULAGRO","INE314T01025","Gokul Agro Resources Limited","11-Mar-2016","2","2","1","-"
"SEQUENT","INE807F01027","Sequent Scientific Limited","10-Mar-2016","2","2","1","-"
"VIDHIING","INE632C01026","Vidhi Specialty Food Ingredients Limited","02-Mar-2016","1","1","1","-"
"BHAGERIA","INE354C01027","Bhageria Industries Limited","02-Mar-2016","5","5","1","-"
"NECCLTD","INE553C01016","North Eastern Carrying Corporation Limited","02-Mar-2016","10","10","1","-"
"KELLTONTEC","INE164B01022","Kellton Tech Solutions Limited","02-Mar-2016","5","5","1","-"
"QUICKHEAL","INE306L01010","Quick Heal Technologies Limited","18-Feb-2016","10","10","1","-"
"TEAMLEASE","INE985S01024","Teamlease Services Limited","12-Feb-2016","10","10","1","-"
"PRECAM","INE484I01029","Precision Camshafts Limited","08-Feb-2016","10","10","1","-"
"JSLHISAR","INE455T01018","Jindal Stainless (Hisar) Limited","28-Jan-2016","2","2","1","-"
